Statistic,Sharing assumption,Unit,Group or category,Sample base,Population base,Population base sampling error,Estimate,Sampling error,Note
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 30-34,252,113000,8000,77,5.4,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 35-39,255,110000,9000,77.3,5.1,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 40-44,219,102000,9000,83.3,5.2,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 45-49,261,133000,10000,80.5,5.6,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 50-54,222,116000,11000,87.1,4.7,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 55-59,210,114000,10000,77.2,5.8,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 60-64,153,76000,9000,59.2,7.8,
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 65-69,171,80000,8000,32.5,7.2,NB - Sampling error is 21-50% of point estimate
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 70-74,150,70000,8000,17.1,6.2,NB - Sampling error is 21-50% of point estimate
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 75-79,108,44000,6000,,,Suppressed
Labour force participation rate - Partner of principal earner,Not applicable,Percent,Age 80+,63,35000,6000,,,Suppressed
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 15-19,207,114000,12000,78.1,6.1,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 20-24,363,245000,13000,75.5,4.8,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 25-29,249,160000,17000,78.1,5.6,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 30-34,165,88000,11000,76.1,6.9,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 35-39,162,81000,12000,79,5.7,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 40-44,153,73000,11000,82.2,6.3,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 45-49,171,67000,10000,82.1,8,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 50-54,156,72000,10000,73.6,6.9,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 55-59,180,77000,10000,76.6,6.3,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 60-64,198,86000,10000,60.5,7.1,
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 65-69,171,71000,8000,35.2,8.7,NB - Sampling error is 21-50% of point estimate
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 70-74,135,52000,9000,23.1,8.5,NB - Sampling error is 21-50% of point estimate
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 75-79,120,39000,7000,,,Suppressed
Labour force participation rate - Sole adult in family,Not applicable,Percent,Age 80+,168,77000,8000,,,Suppressed
Mean children per family,Not applicable,Children,All families with children,1317,609000,17000,1.84,0.05,
Mean children per family,Not applicable,Children,Couple with dependent(s),975,464000,19000,1.89,0.05,
Mean children per family,Not applicable,Children,Sole-parent,342,144000,13000,1.69,0.11,
Median children per family,Not applicable,Children,All families with children,1317,609000,17000,2,0,
Median children per family,Not applicable,Children,Couple with dependent(s),975,464000,19000,2,0,
Median children per family,Not applicable,Children,Sole-parent,342,144000,13000,1,0.34,NB - Sampling error is 21-50% of point estimate
Members of couple families,Not applicable,Individuals,Age 0-4,,,,,,Not applicable
Members of couple families,Not applicable,Individuals,Age 5-9,,,,,,Not applicable
Members of couple families,Not applicable,Individuals,Age 10-14,,,,,,Not applicable
Members of couple families,Not applicable,Individuals,Age 15-19,,,,,,Suppressed
Members of couple families,Not applicable,Individuals,Age 20-24,102,57000,12000,57000,12000,NB - Sampling error is 21-50% of point estimate
Members of couple families,Not applicable,Individuals,Age 25-29,213,114000,17000,114000,17000,
Members of couple families,Not applicable,Individuals,Age 30-34,165,79000,12000,79000,12000,
Members of couple families,Not applicable,Individuals,Age 35-39,90,41000,9000,41000,9000,NB - Sampling error is 21-50% of point estimate
Members of couple families,Not applicable,Individuals,Age 40-44,90,45000,10000,45000,10000,NB - Sampling error is 21-50% of point estimate
Members of couple families,Not applicable,Individuals,Age 45-49,198,95000,14000,95000,14000,
Members of couple families,Not applicable,Individuals,Age 50-54,297,155000,15000,155000,15000,
Members of couple families,Not applicable,Individuals,Age 55-59,384,199000,14000,199000,14000,
Members of couple families,Not applicable,Individuals,Age 60-64,327,165000,11000,165000,11000,
Members of couple families,Not applicable,Individuals,Age 65-69,336,158000,9000,158000,9000,
Members of couple families,Not applicable,Individuals,Age 70-74,282,135000,10000,135000,10000,
Members of couple families,Not applicable,Individuals,Age 75-79,216,84000,7000,84000,7000,
Members of couple families,Not applicable,Individuals,Age 80+,141,76000,7000,76000,7000,
Members of couple-with-children families,Not applicable,Individuals,Age 0-4,543,244000,11000,244000,11000,
Members of couple-with-children families,Not applicable,Individuals,Age 5-9,570,257000,10000,257000,10000,
Members of couple-with-children families,Not applicable,Individuals,Age 10-14,525,241000,11000,241000,11000,
Members of couple-with-children families,Not applicable,Individuals,Age 15-19,225,133000,14000,133000,14000,
Members of couple-with-children families,Not applicable,Individuals,Age 20-24,30,15000,7000,15000,7000,NB - Sampling error is 21-50% of point estimate
Members of couple-with-children families,Not applicable,Individuals,Age 25-29,162,80000,16000,80000,16000,
Members of couple-with-children families,Not applicable,Individuals,Age 30-34,363,162000,13000,162000,13000,
Members of couple-with-children families,Not applicable,Individuals,Age 35-39,423,184000,14000,184000,14000,
Members of couple-with-children families,Not applicable,Individuals,Age 40-44,381,178000,12000,178000,12000,
Members of couple-with-children families,Not applicable,Individuals,Age 45-49,315,163000,15000,163000,15000,
Members of couple-with-children families,Not applicable,Individuals,Age 50-54,168,87000,15000,87000,15000,
Members of couple-with-children families,Not applicable,Individuals,Age 55-59,66,36000,9000,36000,9000,
Members of couple-with-children families,Not applicable,Individuals,Age 60-64,27,16000,5000,16000,5000,
Members of couple-with-children families,Not applicable,Individuals,Age 65-69,,,,,,Suppressed
Members of couple-with-children families,Not applicable,Individuals,Age 70-74,,,,,,Suppressed
Members of couple-with-children families,Not applicable,Individuals,Age 75-79,,,,,,Suppressed
Members of couple-with-children families,Not applicable,Individuals,Age 80+,,,,,,Suppressed
Members of single-member families,Not applicable,Individuals,Age 0-4,,,,,,Not applicable
Members of single-member families,Not applicable,Individuals,Age 5-9,,,,,,Not applicable
Members of single-member families,Not applicable,Individuals,Age 10-14,,,,,,Not applicable
Members of single-member families,Not applicable,Individuals,Age 15-19,216,119000,13000,119000,13000,
Members of single-member families,Not applicable,Individuals,Age 20-24,366,248000,13000,248000,13000,
Members of single-member families,Not applicable,Individuals,Age 25-29,225,150000,15000,150000,15000,
Members of single-member families,Not applicable,Individuals,Age 30-34,135,79000,11000,79000,11000,
Members of single-member families,Not applicable,Individuals,Age 35-39,114,63000,10000,63000,10000,
Members of single-member families,Not applicable,Individuals,Age 40-44,90,47000,9000,47000,9000,
Members of single-member families,Not applicable,Individuals,Age 45-49,132,58000,9000,58000,9000,
Members of single-member families,Not applicable,Individuals,Age 50-54,129,62000,10000,62000,10000,
Members of single-member families,Not applicable,Individuals,Age 55-59,174,76000,11000,76000,11000,
Members of single-member families,Not applicable,Individuals,Age 60-64,192,85000,10000,85000,10000,
Members of single-member families,Not applicable,Individuals,Age 65-69,168,71000,9000,71000,9000,
Members of single-member families,Not applicable,Individuals,Age 70-74,135,52000,9000,52000,9000,
Members of single-member families,Not applicable,Individuals,Age 75-79,120,39000,7000,39000,7000,
Members of single-member families,Not applicable,Individuals,Age 80+,174,81000,8000,81000,8000,
Members of sole-parent families,Not applicable,Individuals,Age 0-4,120,61000,11000,61000,11000,
Members of sole-parent families,Not applicable,Individuals,Age 5-9,189,70000,10000,70000,10000,
Members of sole-parent families,Not applicable,Individuals,Age 10-14,198,73000,11000,73000,11000,
Members of sole-parent families,Not applicable,Individuals,Age 15-19,93,42000,11000,42000,11000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 20-24,21,12000,5000,12000,5000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 25-29,45,23000,6000,23000,6000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 30-34,45,17000,6000,17000,6000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 35-39,54,23000,6000,23000,6000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 40-44,72,29000,6000,29000,6000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 45-49,51,14000,5000,14000,5000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 50-54,33,13000,5000,13000,5000,NB - Sampling error is 21-50% of point estimate
Members of sole-parent families,Not applicable,Individuals,Age 55-59,,,,,,Suppressed
Members of sole-parent families,Not applicable,Individuals,Age 60-64,,,,,,Suppressed
Members of sole-parent families,Not applicable,Individuals,Age 65-69,,,,,,Suppressed
Members of sole-parent families,Not applicable,Individuals,Age 70-74,,,,,,Suppressed
Members of sole-parent families,Not applicable,Individuals,Age 75-79,,,,,,Suppressed
Members of sole-parent families,Not applicable,Individuals,Age 80+,,,,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 15-19,561,305000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 20-24,519,332000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 25-29,642,367000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 30-34,708,338000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 35-39,681,310000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 40-44,630,299000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 45-49,693,330000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 50-54,627,317000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 55-59,633,314000,0,,,Suppressed
Non-qualified partner NZS recipients,Not applicable,Percent,Age 60-64,558,270000,0,5.6,2,NB - Sampling error is 21-50% of point estimate
Non-qualified partner NZS recipients,Not applicable,Percent,Age 65-69,513,233000,0,,,Not applicable
Non-qualified partner NZS recipients,Not applicable,Percent,Age 70-74,426,190000,0,,,Not applicable
Non-qualified partner NZS recipients,Not applicable,Percent,Age 75-79,339,125000,0,,,Not applicable
Non-qualified partner NZS recipients,Not applicable,Percent,Age 80+,312,157000,0,,,Not applicable
Partners of Principal Earners (Family),Not applicable,Individuals,Age 0-4,,,,,,Not applicable
Partners of Principal Earners (Family),Not applicable,Individuals,Age 5-9,,,,,,Not applicable
Partners of Principal Earners (Family),Not applicable,Individuals,Age 10-14,,,,,,Not applicable
Partners of Principal Earners (Family),Not applicable,Individuals,Age 15-19,,,,,,Suppressed
Partners of Principal Earners (Family),Not applicable,Individuals,Age 20-24,78,43000,8000,43000,8000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 25-29,207,104000,10000,104000,10000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 30-34,255,115000,8000,115000,8000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 35-39,261,114000,9000,114000,9000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 40-44,225,105000,8000,105000,8000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 45-49,264,135000,10000,135000,10000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 50-54,225,118000,11000,118000,11000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 55-59,213,117000,10000,117000,10000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 60-64,159,79000,9000,79000,9000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 65-69,174,80000,8000,80000,8000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 70-74,156,73000,7000,73000,7000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 75-79,108,44000,6000,44000,6000,
Partners of Principal Earners (Family),Not applicable,Individuals,Age 80+,66,37000,6000,37000,6000,
Principal Earners (Family),Not applicable,Individuals,Age 0-4,,,,,,Not applicable
Principal Earners (Family),Not applicable,Individuals,Age 5-9,,,,,,Not applicable
Principal Earners (Family),Not applicable,Individuals,Age 10-14,,,,,,Not applicable
Principal Earners (Family),Not applicable,Individuals,Age 15-19,228,126000,13000,126000,13000,
Principal Earners (Family),Not applicable,Individuals,Age 20-24,441,289000,8000,289000,8000,
Principal Earners (Family),Not applicable,Individuals,Age 25-29,435,263000,10000,263000,10000,
Principal Earners (Family),Not applicable,Individuals,Age 30-34,450,222000,8000,222000,8000,
Principal Earners (Family),Not applicable,Individuals,Age 35-39,420,197000,9000,197000,9000,
Principal Earners (Family),Not applicable,Individuals,Age 40-44,408,194000,8000,194000,8000,
Principal Earners (Family),Not applicable,Individuals,Age 45-49,429,195000,10000,195000,10000,
Principal Earners (Family),Not applicable,Individuals,Age 50-54,402,199000,11000,199000,11000,
Principal Earners (Family),Not applicable,Individuals,Age 55-59,417,197000,10000,197000,10000,
Principal Earners (Family),Not applicable,Individuals,Age 60-64,399,191000,9000,191000,9000,
Principal Earners (Family),Not applicable,Individuals,Age 65-69,339,153000,8000,153000,8000,
Principal Earners (Family),Not applicable,Individuals,Age 70-74,270,117000,7000,117000,7000,
Principal Earners (Family),Not applicable,Individuals,Age 75-79,231,81000,6000,81000,6000,
Principal Earners (Family),Not applicable,Individuals,Age 80+,246,120000,6000,120000,6000,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 15-19,243,134000,14000,12.5,2.7,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 20-24,537,344000,13000,6.64,1.1,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 25-29,804,452000,23000,4.95,0.84,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 30-34,1155,538000,25000,5.56,1.25,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 35-39,1191,531000,34000,5.13,0.78,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 40-44,1218,563000,33000,5.66,0.79,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 45-49,1035,482000,32000,5.04,0.85,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 50-54,840,418000,25000,3.31,0.65,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 55-59,738,359000,21000,2.7,1.16,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 60-64,630,309000,19000,3.52,0.63,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 65-69,522,237000,14000,2.98,1.16,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 70-74,411,185000,12000,4.41,1.16,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 75-79,342,124000,10000,5.22,1.39,
Redistributive effect - Disposable to final,Family,Gini points,Principal Age 80+,318,159000,8000,7.67,2.13,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 0-4,663,305000,0,5.76,1.21,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 5-9,759,327000,0,8.27,0.95,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 10-14,723,314000,0,9.17,0.78,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 15-19,561,305000,0,9.1,1.39,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 20-24,519,332000,0,6.18,1.11,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 25-29,642,367000,0,2.36,0.68,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 30-34,708,338000,0,2.46,0.66,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 35-39,681,310000,0,1.73,0.51,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 40-44,630,299000,0,2.25,0.51,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 45-49,693,330000,0,1.61,0.63,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 50-54,627,317000,0,1.24,0.45,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 55-59,633,314000,0,1.89,0.59,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 60-64,558,270000,0,2.81,0.55,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 65-69,513,233000,0,2.96,0.98,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 70-74,426,190000,0,4.09,0.84,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 75-79,339,125000,0,5.52,1.1,
Redistributive effect - Disposable to final,Intra-family equal,Gini points,Age 80+,312,157000,0,6.72,2.07,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 0-4,663,305000,0,6.05,1.57,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 5-9,759,327000,0,11.45,1.19,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 10-14,723,314000,0,13.05,1.21,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 15-19,561,305000,0,11.77,1.56,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 20-24,519,332000,0,6.44,1.1,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 25-29,642,367000,0,2.36,0.61,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 30-34,708,338000,0,2.32,0.64,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 35-39,681,310000,0,1.53,0.47,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 40-44,630,299000,0,1.66,0.49,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 45-49,693,330000,0,1.76,0.55,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 50-54,627,317000,0,1.16,0.45,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 55-59,633,314000,0,1.95,0.62,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 60-64,558,270000,0,2.86,0.48,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 65-69,513,233000,0,3.43,0.96,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 70-74,426,190000,0,4.84,0.72,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 75-79,339,125000,0,6.96,1.11,
Redistributive effect - Disposable to final,Intra-family mOECD,Gini points,Age 80+,312,157000,0,8.68,1.83,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 0-4,663,305000,0,5.27,1.43,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 5-9,759,327000,0,10.71,1.16,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 10-14,723,314000,0,12.01,0.93,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 15-19,561,305000,0,6.48,1.24,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 20-24,519,332000,0,3.13,0.95,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 25-29,642,367000,0,1.72,0.62,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 30-34,708,338000,0,2.23,0.6,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 35-39,681,310000,0,1.47,0.43,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 40-44,630,299000,0,1.83,0.51,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 45-49,693,330000,0,1.83,0.55,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 50-54,627,317000,0,1.5,0.45,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 55-59,633,314000,0,1.91,0.62,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 60-64,558,270000,0,2.82,0.5,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 65-69,513,233000,0,3.58,1.01,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 70-74,426,190000,0,4.95,0.79,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 75-79,339,125000,0,7.17,1.14,
Redistributive effect - Disposable to final,Intra-household mOECD,Gini points,Age 80+,312,157000,0,9.42,1.62,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 15-19,243,134000,14000,8.57,3.02,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 20-24,537,344000,13000,14.1,3.01,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 25-29,804,452000,23000,14.7,2.32,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 30-34,1155,538000,25000,10.76,2.03,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 35-39,1191,531000,34000,11,1.69,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 40-44,1218,563000,33000,9.14,1.55,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 45-49,1035,482000,32000,6.77,1.4,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 50-54,840,418000,25000,7.93,1.5,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 55-59,738,359000,21000,7.12,1.78,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 60-64,630,309000,19000,8.73,2.31,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 65-69,522,237000,14000,23.1,3.07,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 70-74,411,185000,12000,35.4,4.52,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 75-79,342,124000,10000,40.31,5.04,
Redistributive effect - Market to disposable,Family,Gini points,Principal Age 80+,318,159000,8000,48.27,4.53,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 0-4,663,305000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 5-9,759,327000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 10-14,723,314000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 15-19,561,305000,0,31.93,4.42,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 20-24,519,332000,0,9.53,4.48,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 25-29,642,367000,0,11.46,4,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 30-34,708,338000,0,10.56,2.58,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 35-39,681,310000,0,13.18,2.42,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 40-44,630,299000,0,10.13,2.89,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 45-49,693,330000,0,10.94,3.77,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 50-54,627,317000,0,10.77,2.77,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 55-59,633,314000,0,10.21,2.1,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 60-64,558,270000,0,17.24,2.62,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 65-69,513,233000,0,28.42,4.54,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 70-74,426,190000,0,39.78,4.02,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 75-79,339,125000,0,45.56,3.78,
Redistributive effect - Market to disposable,Intra-family equal,Gini points,Age 80+,312,157000,0,53.14,4,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 0-4,663,305000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 5-9,759,327000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 10-14,723,314000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 15-19,561,305000,0,34.9,3.76,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 20-24,519,332000,0,10.49,3.2,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 25-29,642,367000,0,11.56,2.99,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 30-34,708,338000,0,10.97,2.18,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 35-39,681,310000,0,13.14,1.88,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 40-44,630,299000,0,11.28,2.11,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 45-49,693,330000,0,10.12,2.81,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 50-54,627,317000,0,10.72,2.04,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 55-59,633,314000,0,8.71,1.71,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 60-64,558,270000,0,14.27,2.4,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 65-69,513,233000,0,25.86,3.52,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 70-74,426,190000,0,36.53,3.79,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 75-79,339,125000,0,41.69,3.74,
Redistributive effect - Market to disposable,Intra-family mOECD,Gini points,Age 80+,312,157000,0,48.74,3.7,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 0-4,663,305000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 5-9,759,327000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 10-14,723,314000,0,,,Not applicable
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 15-19,561,305000,0,40.58,4.38,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 20-24,519,332000,0,14.88,4.79,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 25-29,642,367000,0,11.89,3.75,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 30-34,708,338000,0,12.36,2.17,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 35-39,681,310000,0,13.91,2.27,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 40-44,630,299000,0,11.6,2.37,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 45-49,693,330000,0,10.58,2.98,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 50-54,627,317000,0,12,2.09,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 55-59,633,314000,0,10.41,2.01,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 60-64,558,270000,0,17.17,2.14,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 65-69,513,233000,0,26.61,3.47,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 70-74,426,190000,0,37.22,3.82,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 75-79,339,125000,0,41.28,3.8,
Redistributive effect - Market to disposable,Intra-household mOECD,Gini points,Age 80+,312,157000,0,47.47,3.52,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 0-4,663,305000,0,,,Not applicable
Redistributive effect - Market to disposable,No sharing,Gini points,Age 5-9,759,327000,0,,,Not applicable
Redistributive effect - Market to disposable,No sharing,Gini points,Age 10-14,723,314000,0,,,Not applicable
Redistributive effect - Market to disposable,No sharing,Gini points,Age 15-19,561,305000,0,3.38,1.1,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 20-24,519,332000,0,11.7,1.91,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 25-29,642,367000,0,10.92,1.51,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 30-34,708,338000,0,9.44,1.31,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 35-39,681,310000,0,9.84,1.17,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 40-44,630,299000,0,8.47,1.26,
